URUN_KODU;TARIH;MIKTAR
URUN-1;2015-03-01;4125
URUN-1;2015-04-01;1125
URUN-1;2015-05-01;4500
URUN-1;2015-06-01;7750
URUN-1;2015-07-01;500
URUN-1;2015-08-01;2375
URUN-1;2015-09-01;1750
URUN-1;2015-10-01;2375
URUN-1;2015-11-01;750
URUN-1;2015-12-01;1500
URUN-1;2016-01-01;0
URUN-1;2016-02-01;500
URUN-1;2016-03-01;3125
URUN-1;2016-04-01;1500
URUN-1;2016-05-01;500
URUN-1;2016-06-01;250
URUN-1;2016-07-01;8000
URUN-1;2016-08-01;0
URUN-1;2016-09-01;0
URUN-1;2016-10-01;8500
URUN-1;2016-11-01;750
URUN-1;2016-12-01;0
URUN-1;2017-01-01;0
URUN-1;2017-02-01;3500
URUN-1;2017-03-01;8500
URUN-1;2017-04-01;13125
URUN-1;2017-05-01;8
URUN-1;2017-06-01;3625
URUN-1;2017-07-01;7250
URUN-1;2017-08-01;5000
URUN-1;2017-09-01;2500
URUN-1;2017-10-01;2250
URUN-1;2017-11-01;1375
URUN-1;2017-12-01;2000
URUN-1;2018-01-01;1125
URUN-1;2018-02-01;250
URUN-1;2018-03-01;875
URUN-1;2018-04-01;1000
URUN-1;2018-05-01;4000
URUN-1;2018-06-01;2000
URUN-1;2018-07-01;3375
URUN-1;2018-08-01;500
URUN-1;2018-09-01;4500
URUN-1;2018-10-01;375
URUN-1;2018-11-01;4500
URUN-1;2018-12-01;5000
URUN-2;2015-03-01;85650
URUN-2;2015-04-01;117075
URUN-2;2015-05-01;0
URUN-2;2015-06-01;5088
URUN-2;2015-07-01;55980
URUN-2;2015-08-01;150
URUN-2;2015-09-01;34100
URUN-2;2015-10-01;14090
URUN-2;2015-11-01;41270
URUN-2;2015-12-01;71150
URUN-2;2016-01-01;16650
URUN-2;2016-02-01;25020
URUN-2;2016-03-01;52615
URUN-2;2016-04-01;66340
URUN-2;2016-05-01;35405
URUN-2;2016-06-01;33250
URUN-2;2016-07-01;14510
URUN-2;2016-08-01;500
URUN-2;2016-09-01;70180
URUN-2;2016-10-01;39450
URUN-2;2016-11-01;54500
URUN-2;2016-12-01;66360
URUN-2;2017-01-01;23125
URUN-2;2017-02-01;0
URUN-2;2017-03-01;25750
URUN-2;2017-04-01;30460
URUN-2;2017-05-01;0
URUN-2;2017-06-01;41100
URUN-2;2017-07-01;122550
URUN-2;2017-08-01;7600
URUN-2;2017-09-01;38400
URUN-2;2017-10-01;37800
URUN-2;2017-11-01;94100
URUN-2;2017-12-01;26400
URUN-2;2018-01-01;17750
URUN-2;2018-02-01;9050
URUN-2;2018-03-01;34650
URUN-2;2018-04-01;50
URUN-2;2018-05-01;41100
URUN-2;2018-06-01;76080
URUN-2;2018-07-01;52540
URUN-2;2018-08-01;9800
URUN-2;2018-09-01;51550
URUN-2;2018-10-01;30300
URUN-2;2018-11-01;73750
URUN-2;2018-12-01;250
URUN-3;2016-01-01;2185
URUN-3;2016-02-01;2913
URUN-3;2016-03-01;412
URUN-3;2016-04-01;825
URUN-3;2016-05-01;300
URUN-3;2016-06-01;400
URUN-3;2016-07-01;1680
URUN-3;2016-08-01;0
URUN-3;2016-09-01;120
URUN-3;2016-10-01;50
URUN-3;2016-11-01;324
URUN-3;2016-12-01;680
URUN-3;2017-01-01;350
URUN-3;2017-02-01;165
URUN-3;2017-03-01;100
URUN-3;2017-04-01;1830
URUN-3;2017-05-01;420
URUN-3;2017-06-01;480
URUN-3;2017-07-01;150
URUN-3;2017-08-01;0
URUN-3;2017-09-01;0
URUN-3;2017-10-01;970
URUN-3;2017-11-01;210
URUN-3;2017-12-01;140
URUN-3;2018-01-01;0
URUN-3;2018-02-01;140
URUN-3;2018-03-01;830
URUN-3;2018-04-01;312
URUN-3;2018-05-01;780
URUN-3;2018-06-01;150
URUN-3;2018-07-01;350
URUN-3;2018-08-01;20
URUN-3;2018-09-01;285
URUN-3;2018-10-01;1100
URUN-3;2018-11-01;575
URUN-3;2018-12-01;40
URUN-4;2015-06-01;60
